quantity,matlab,python,abs_diff,pct_diff
isc_A_m2,357.2159658,357.2159658,0,0.000000
voc_equil_V,0.7222222222,0.7222222222,0,0.000000
voc_amb_V,0.7575757576,0.7575757576,0,0.000000
ff_equil,0.8663079556,0.8663079556,0,0.000000
ff_amb,0.8782265633,0.8782265633,0,0.000000
mpp_equil_W_m2,223.4981905,223.4981905,0,0.000000
mpp_amb_W_m2,237.664053,237.664053,0,0.000000
atm_power_W_m2,158.8458103,158.8458103,0,0.000000
solar_power_abs_W_m2,743.5163269,743.5163269,0,0.000000
solar_power_am15_W_m2,993.7944803,993.7944803,0,0.000000
beta_p_perc_K,-0.283831262,-0.283831262,0,-0.000000
efficiency_equil,0.2248937733,0.2248937733,0,0.000000
equil_temp_K,319,319,0,0.000000
vmpp_V,0.6586,0.6586,0,0.000000
