voltage_V,current_density_A_per_m2
0.1,355.82456
0.10707071,355.75393
0.11414141,355.6833
0.12121212,355.61267
0.12828283,355.54204
0.13535354,355.47141
0.14242424,355.40078
0.14949495,355.33015
0.15656566,355.25952
0.16363636,355.18889
0.17070707,355.11827
0.17777778,355.04764
0.18484848,354.97701
0.19191919,354.90638
0.1989899,354.83575
0.20606061,354.76512
0.21313131,354.69449
0.22020202,354.62386
0.22727273,354.55323
0.23434343,354.4826
0.24141414,354.41197
0.24848485,354.34134
0.25555556,354.27071
0.26262626,354.20008
0.26969697,354.12945
0.27676768,354.05882
0.28383838,353.98819
0.29090909,353.91756
0.2979798,353.84694
0.30505051,353.77631
0.31212121,353.70568
0.31919192,353.63505
0.32626263,353.56442
0.33333333,353.49379
0.34040404,353.42316
0.34747475,353.35253
0.35454545,353.28189
0.36161616,353.21126
0.36868687,353.14063
0.37575758,353.07
0.38282828,352.99936
0.38989899,352.92873
0.3969697,352.85809
0.4040404,352.78745
0.41111111,352.7168
0.41818182,352.64615
0.42525253,352.57549
0.43232323,352.50482
0.43939394,352.43414
0.44646465,352.36344
0.45353535,352.29271
0.46060606,352.22194
0.46767677,352.15112
0.47474747,352.08023
0.48181818,352.00923
0.48888889,351.93809
0.4959596,351.86674
0.5030303,351.79509
0.51010101,351.72303
0.51717172,351.65036
0.52424242,351.57683
0.53131313,351.50206
0.53838384,351.4255
0.54545455,351.34635
0.55252525,351.26347
0.55959596,351.17516
0.56666667,351.07898
0.57373737,350.97135
0.58080808,350.84705
0.58787879,350.69847
0.59494949,350.51445
0.6020202,350.27867
0.60909091,349.96727
0.61616162,349.54527
0.62323232,348.96141
0.63030303,348.14061
0.63737374,346.97276
0.64444444,345.2964
0.65151515,342.8748
0.65858586,339.36075
0.66565657,334.2451
0.67272727,326.78121
0.67979798,315.87425
0.68686869,299.91868
0.69393939,276.5593
0.7010101,242.33856
0.70808081,192.17353
0.71515152,118.57653
0.72222222,10.493761
0.72929293,-148.40868
0.73636364,-382.2274
0.74343434,-726.37893
0.75050505,-1232.7985
0.75757576,-1977.7486
0.76464646,-3073.4355
0.77171717,-4684.9706
0.77878788,-7055.228
0.78585859,-10541.435
0.79292929,-15669.011
0.8,-23210.758
