lambda_um,ref,tran,emit,abs_silicon,emit_atm,ref_norm,emit_norm,abs_silicon_norm
0.31,0.20073,-2.7755576e-17,0.79927,0.69452,1,0.20073,0.79927,0.69452
0.32970971,0.21021569,-2.7755576e-17,0.78978431,0.70296032,1,0.21021569,0.78978431,0.70296032
0.34941942,0.25102364,-5.5511151e-17,0.74897636,0.67528766,1,0.25102364,0.74897636,0.67528766
0.36912913,0.33405327,0,0.66594673,0.60902357,1,0.33405327,0.66594673,0.60902357
0.38883884,0.28617407,-5.5511151e-17,0.71382593,0.66573174,1,0.28617407,0.71382593,0.66573174
0.40854855,0.24165621,5.5511151e-17,0.75834379,0.71631206,1,0.24165621,0.75834379,0.71631206
0.42825826,0.23044486,8.3266727e-17,0.76955514,0.73413399,1,0.23044486,0.76955514,0.73413399
0.44796797,0.21189171,-5.5511151e-17,0.78810829,0.75621947,1,0.21189171,0.78810829,0.75621947
0.46767768,0.17981049,-5.5511151e-17,0.82018951,0.79055112,1,0.17981049,0.82018951,0.79055112
0.48738739,0.16462432,0,0.83537568,0.80807117,1,0.16462432,0.83537568,0.80807117
0.5070971,0.15121139,-2.7755576e-17,0.84878861,0.82351477,1,0.15121139,0.84878861,0.82351477
0.52680681,0.13645258,5.5511151e-17,0.86354742,0.84007322,1,0.13645258,0.86354742,0.84007322
0.54651652,0.12028465,1.3877788e-17,0.87971535,0.85737363,1,0.12028465,0.87971535,0.85737363
0.56622623,0.10243896,-2.7755576e-17,0.89756104,0.8759999,1,0.10243896,0.89756104,0.8759999
0.58593594,0.091080336,-1.967968e-06,0.90892163,0.88830276,1,0.091080336,0.90892163,0.88830276
0.60564565,0.082679616,2.3063063e-06,0.91731808,0.89762874,1,0.082679616,0.91731808,0.89762874
0.62535536,0.076534793,3.5355355e-06,0.92346167,0.90480124,1,0.076534793,0.92346167,0.90480124
0.64506507,0.066997636,-5.5855856e-07,0.93300292,0.91506994,1,0.066997636,0.93300292,0.91506994
0.66477477,0.055536721,-9.5495495e-07,0.94446423,0.92712658,1,0.055536721,0.94446423,0.92712658
0.68448448,0.049296834,-1.4484484e-06,0.95070461,0.93401915,1,0.049296834,0.95070461,0.93401915
0.70419419,0.046893177,2.8388388e-06,0.95310398,0.93710562,1,0.046893177,0.95310398,0.93710562
0.7239039,0.042049505,-2.6576577e-06,0.95795315,0.94240342,1,0.042049505,0.95795315,0.94240342
0.74361361,0.040420806,4.4544545e-07,0.95957875,0.94452909,1,0.040420806,0.95957875,0.94452909
0.76332332,0.039073913,-4.003003e-06,0.96093009,0.94639653,1,0.039073913,0.96093009,0.94639653
0.78303303,0.037182288,-7.8678679e-07,0.9628185,0.94843712,1,0.037182288,0.9628185,0.94843712
0.80274274,0.034747281,-1.7257257e-06,0.96525444,0.9514893,1,0.034747281,0.96525444,0.9514893
0.82245245,0.033350032,-3.2452452e-06,0.96665321,0.95327226,1,0.033350032,0.96665321,0.95327226
0.84216216,0.033264189,2.5675676e-06,0.96673324,0.95372,1,0.033264189,0.96673324,0.95372
0.86187187,0.034538448,1.2512513e-06,0.9654603,0.95279335,1,0.034538448,0.9654603,0.95279335
0.88158158,0.035890139,-4.6836837e-06,0.96411454,0.95182459,1,0.035890139,0.96411454,0.95182459
0.90129129,0.036782123,1.2912913e-07,0.96321775,0.95121291,1,0.036782123,0.96321775,0.95121291
0.921001,0.034929864,3.1991992e-06,0.96506694,0.9529639,1,0.034929864,0.96506694,0.9529639
0.94071071,0.034842505,4.5025025e-06,0.96515299,0.95207268,1,0.034842505,0.96515299,0.95207268
0.96042042,0.035325204,4.9159159e-06,0.96466988,0.94838661,1,0.035325204,0.96466988,0.94838661
0.98013013,0.040951864,2.960961e-06,0.95904518,0.9349471,1,0.040951864,0.95904518,0.9349471
0.99983984,0.056888033,-4.9199199e-06,0.94311689,0.90478222,1,0.056888033,0.94311689,0.90478222
1.0195495,0.10705554,-2.2522523e-07,0.89294468,0.83240009,1,0.10705554,0.89294468,0.83240009
1.0392593,0.20276852,0,0.79723148,0.70471407,1,0.20276852,0.79723148,0.70471407
1.058969,0.36494015,5.5511151e-17,0.63505985,0.50687191,1,0.36494015,0.63505985,0.50687191
1.0786787,0.50135492,1.110223e-16,0.49864508,0.3457682,1,0.50135492,0.49864508,0.3457682
1.0983884,0.60394968,0,0.39605032,0.22864725,1,0.60394968,0.39605032,0.22864725
1.1180981,0.70085683,0,0.29914317,0.13365171,1,0.70085683,0.29914317,0.13365171
1.1378078,0.73624264,1.110223e-16,0.26375736,0.078915459,1,0.73624264,0.26375736,0.078915459
1.1575175,0.79009238,0,0.20990762,0.03240113,1,0.79009238,0.20990762,0.03240113
1.1772272,0.81452867,-1.110223e-16,0.18547133,0.0074034581,1,0.81452867,0.18547133,0.0074034581
1.1969369,0.82520225,0,0.17479775,0.0013543297,1,0.82520225,0.17479775,0.0013543297
1.2166466,0.83331528,0,0.16668472,0.00047722974,1,0.83331528,0.16668472,0.00047722974
1.2363564,0.8398102,0,0.1601898,0.00014570115,1,0.8398102,0.1601898,0.00014570115
1.2560661,0.85057634,0,0.14942366,2.7227231e-05,1,0.85057634,0.14942366,2.7227231e-05
1.2757758,0.85611124,0,0.14388876,7.0128438e-06,1,0.85611124,0.14388876,7.0128438e-06
1.2954855,0.85647655,-1.110223e-16,0.14352345,2.4965166e-06,1,0.85647655,0.14352345,2.4965166e-06
1.3151952,0.86368279,1.110223e-16,0.13631721,8.3364171e-07,1,0.86368279,0.13631721,8.3364171e-07
1.3349049,0.8653422,0,0.1346578,2.0764281e-07,1,0.8653422,0.1346578,2.0764281e-07
1.3546146,0.86904637,-1.110223e-16,0.13095363,5.5782604e-08,1,0.86904637,0.13095363,5.5782604e-08
