voltage_V,power_equilibrium_W_per_m2,power_ambient_W_per_m2
0.1,35.582456,35.582456
0.10707071,38.090825,38.090825
0.11414141,40.598195,40.598195
0.12121212,43.104566,43.104566
0.12828283,45.609939,45.609939
0.13535354,48.114312,48.114312
0.14242424,50.617687,50.617687
0.14949495,53.120063,53.120063
0.15656566,55.621441,55.621441
0.16363636,58.121819,58.121819
0.17070707,60.621199,60.621199
0.17777778,63.11958,63.11958
0.18484848,65.616962,65.616962
0.19191919,68.113345,68.113345
0.1989899,70.60873,70.60873
0.20606061,73.103115,73.103115
0.21313131,75.596502,75.596502
0.22020202,78.08889,78.08889
0.22727273,80.58028,80.58028
0.23434343,83.07067,83.07067
0.24141414,85.560062,85.560062
0.24848485,88.048455,88.048455
0.25555556,90.535849,90.535849
0.26262626,93.022244,93.022244
0.26969697,95.50764,95.507641
0.27676768,97.992038,97.992038
0.28383838,100.47544,100.47544
0.29090909,102.95784,102.95784
0.2979798,105.43924,105.43924
0.30505051,107.91964,107.91964
0.31212121,110.39904,110.39904
0.31919192,112.87745,112.87745
0.32626263,115.35485,115.35486
0.33333333,117.83126,117.83126
0.34040404,120.30667,120.30667
0.34747475,122.78108,122.78108
0.35454545,125.25449,125.25449
0.36161616,127.7269,127.7269
0.36868687,130.19831,130.19832
0.37575758,132.66873,132.66873
0.38282828,135.13814,135.13815
0.38989899,137.60655,137.60656
0.3969697,140.07397,140.07398
0.4040404,142.54038,142.5404
0.41111111,145.0058,145.00582
0.41818182,147.47021,147.47024
0.42525253,149.93362,149.93366
0.43232323,152.39602,152.39608
0.43939394,154.85743,154.8575
0.44646465,157.31782,157.31793
0.45353535,159.7772,159.77735
0.46060606,162.23556,162.23577
0.46767677,164.6929,164.69319
0.47474747,167.1492,167.14961
0.48181818,169.60445,169.60502
0.48888889,172.05862,172.05942
0.4959596,174.51169,174.51282
0.5030303,176.96359,176.9652
0.51010101,179.41427,179.41656
0.51717172,181.86362,181.86689
0.52424242,184.31149,184.31618
0.53131313,186.75766,186.76441
0.53838384,189.20181,189.21155
0.54545455,191.64346,191.65756
0.55252525,194.08193,194.10238
0.55959596,196.5162,196.54593
0.56666667,198.94475,198.98807
0.57373737,201.36538,201.42863
0.58080808,203.7748,203.86732
0.58787879,206.16819,206.30372
0.59494949,208.53839,208.73721
0.6020202,210.87484,211.16686
0.60909091,213.16188,213.59127
0.61616162,215.37638,216.00833
0.62323232,217.48403,218.41487
0.63030303,219.43408,220.80612
0.63737374,221.15132,223.17484
0.64444444,222.52435,225.51012
0.65151515,223.38813,227.79544
0.65858586,223.49819,230.00574
0.66565657,222.49244,232.10309
0.67272727,219.83463,234.0299
0.67979798,214.73068,235.69883
0.68686869,206.00475,236.9773
0.69393939,191.91539,237.66405
0.7010101,169.88178,237.45359
0.70808081,136.07439,235.8822
0.71515152,84.800183,232.24622
0.72222222,7.5788273,225.47784
0.72929293,-108.2334,213.95655
0.73636364,-281.45836,195.22117
0.74343434,-540.01504,165.52718
0.75050505,-925.22149,119.16023
0.75757576,-1498.2944,47.36625
0.76464646,-2350.0916,-63.302247
0.77171717,-3615.4723,-233.47383
0.77878788,-5494.526,-494.60426
0.78585859,-8284.077,-894.42663
0.79292929,-12424.418,-1505.4913
0.8,-18568.607,-2438.4275
