lambda_um,n,k
0.3,1.46146,1e-06
0.301,1.46107,1e-06
0.302,1.46069,1e-06
0.303,1.4603,1e-06
0.304,1.45993,1e-06
0.305,1.45955,1e-06
0.306,1.45918,1e-06
0.307,1.45881,1e-06
0.308,1.45845,1e-06
0.309,1.45809,1e-06
0.31,1.45773,1e-06
0.311,1.45738,1e-06
0.312,1.45702,1e-06
0.313,1.45668,1e-06
0.314,1.45633,1e-06
0.315,1.45599,1e-06
0.316,1.45565,1e-06
0.317,1.45531,1e-06
0.318,1.45498,1e-06
0.319,1.45465,1e-06
0.32,1.45432,1e-06
0.321,1.45399,1e-06
0.322,1.45367,1e-06
0.323,1.45335,1e-06
0.324,1.45303,1e-06
0.325,1.45272,1e-06
0.326,1.45241,1e-06
0.327,1.4521,1e-06
0.328,1.45179,1e-06
0.329,1.45149,1e-06
0.33,1.45119,1e-06
0.331,1.45089,1e-06
0.332,1.45059,1e-06
0.333,1.4503,1e-06
0.334,1.45001,1e-06
0.335,1.44972,1e-06
0.336,1.44943,1e-06
0.337,1.44914,1e-06
0.338,1.44886,1e-06
0.339,1.44858,1e-06
0.34,1.44831,1e-06
0.341,1.44803,1e-06
0.342,1.44776,1e-06
0.343,1.44749,1e-06
0.344,1.44722,1e-06
0.345,1.44695,1e-06
0.346,1.44669,1e-06
0.347,1.44643,1e-06
0.348,1.44616,1e-06
0.349,1.44591,1e-06
0.35,1.44565,1e-06
0.351,1.4454,1e-06
0.352,1.44515,1e-06
0.353,1.4449,1e-06
0.354,1.44465,1e-06
0.355,1.4444,1e-06
0.356,1.44416,1e-06
0.357,1.44392,1e-06
0.358,1.44368,1e-06
0.359,1.44344,1e-06
0.36,1.4432,1e-06
0.361,1.44297,1e-06
0.362,1.44273,1e-06
0.363,1.4425,1e-06
0.364,1.44227,1e-06
0.365,1.44205,1e-06
0.366,1.44182,1e-06
0.367,1.4416,1e-06
0.368,1.44137,1e-06
0.369,1.44115,1e-06
0.37,1.44093,1e-06
0.371,1.44072,1e-06
0.372,1.4405,1e-06
0.373,1.44029,1e-06
0.374,1.44007,1e-06
0.375,1.43986,1e-06
0.376,1.43965,1e-06
0.377,1.43945,1e-06
0.378,1.43924,1e-06
0.379,1.43904,1e-06
0.38,1.43883,1e-06
0.381,1.43863,1e-06
0.382,1.43843,1e-06
0.383,1.43823,1e-06
0.384,1.43804,1e-06
0.385,1.43784,1e-06
0.386,1.43765,1e-06
0.387,1.43745,1e-06
0.388,1.43726,1e-06
0.389,1.43707,1e-06
0.39,1.43688,1e-06
0.391,1.4367,1e-06
0.392,1.43651,1e-06
0.393,1.43632,1e-06
0.394,1.43614,1e-06
0.395,1.43596,1e-06
0.396,1.43578,1e-06
0.397,1.4356,1e-06
0.398,1.43542,1e-06
0.399,1.43524,1e-06
0.4,1.43507,1e-06
0.401,1.43489,1e-06
0.402,1.43472,1e-06
0.403,1.43455,1e-06
0.404,1.43438,1e-06
0.405,1.43421,1e-06
0.406,1.43404,1e-06
0.407,1.43387,1e-06
0.408,1.43371,1e-06
0.409,1.43354,1e-06
0.41,1.43338,1e-06
0.411,1.43322,1e-06
0.412,1.43306,1e-06
0.413,1.4329,1e-06
0.414,1.43274,1e-06
0.415,1.43258,1e-06
0.416,1.43242,1e-06
0.417,1.43226,1e-06
0.418,1.43211,1e-06
0.419,1.43196,1e-06
0.42,1.4318,1e-06
0.421,1.43165,1e-06
0.422,1.4315,1e-06
0.423,1.43135,1e-06
0.424,1.4312,1e-06
0.425,1.43106,1e-06
0.426,1.43091,1e-06
0.427,1.43076,1e-06
0.428,1.43062,1e-06
0.429,1.43047,1e-06
0.43,1.43033,1e-06
0.431,1.43019,1e-06
0.432,1.43005,1e-06
0.433,1.42991,1e-06
0.434,1.42977,1e-06
0.435,1.42963,1e-06
0.436,1.4295,1e-06
0.437,1.42936,1e-06
0.438,1.42922,1e-06
0.439,1.42909,1e-06
0.44,1.42896,1e-06
0.441,1.42882,1e-06
0.442,1.42869,1e-06
0.443,1.42856,1e-06
0.444,1.42843,1e-06
0.445,1.4283,1e-06
0.446,1.42817,1e-06
0.447,1.42804,1e-06
0.448,1.42792,1e-06
0.449,1.42779,1e-06
0.45,1.42767,1e-06
0.451,1.42754,1e-06
0.452,1.42742,1e-06
0.453,1.42729,1e-06
0.454,1.42717,1e-06
0.455,1.42705,1e-06
0.456,1.42693,1e-06
0.457,1.42681,1e-06
0.458,1.42669,1e-06
0.459,1.42657,1e-06
0.46,1.42646,1e-06
0.461,1.42634,1e-06
0.462,1.42622,1e-06
0.463,1.42611,1e-06
0.464,1.42599,1e-06
0.465,1.42588,1e-06
0.466,1.42576,1e-06
0.467,1.42565,1e-06
0.468,1.42554,1e-06
0.469,1.42543,1e-06
0.47,1.42532,1e-06
0.471,1.42521,1e-06
0.472,1.4251,1e-06
0.473,1.42499,1e-06
0.474,1.42488,1e-06
0.475,1.42478,1e-06
0.476,1.42467,1e-06
0.477,1.42456,1e-06
0.478,1.42446,1e-06
0.479,1.42435,1e-06
0.48,1.42425,1e-06
0.481,1.42415,1e-06
0.482,1.42404,1e-06
0.483,1.42394,1e-06
0.484,1.42384,1e-06
0.485,1.42374,1e-06
0.486,1.42364,1e-06
0.487,1.42354,1e-06
0.488,1.42344,1e-06
0.489,1.42334,1e-06
0.49,1.42324,1e-06
0.491,1.42315,1e-06
0.492,1.42305,1e-06
0.493,1.42295,1e-06
0.494,1.42286,1e-06
0.495,1.42276,1e-06
0.496,1.42267,1e-06
0.497,1.42257,1e-06
0.498,1.42248,1e-06
0.499,1.42239,1e-06
0.5,1.4223,1e-06
0.501,1.4222,1e-06
0.502,1.42211,1e-06
0.503,1.42202,1e-06
0.504,1.42193,1e-06
0.505,1.42184,1e-06
0.506,1.42175,1e-06
0.507,1.42166,1e-06
0.508,1.42158,1e-06
0.509,1.42149,1e-06
0.51,1.4214,1e-06
0.511,1.42131,1e-06
0.512,1.42123,1e-06
0.513,1.42114,1e-06
0.514,1.42106,1e-06
0.515,1.42097,1e-06
0.516,1.42089,1e-06
0.517,1.42081,1e-06
0.518,1.42072,1e-06
0.519,1.42064,1e-06
0.52,1.42056,1e-06
0.521,1.42047,1e-06
0.522,1.42039,1e-06
0.523,1.42031,1e-06
0.524,1.42023,1e-06
0.525,1.42015,1e-06
0.526,1.42007,1e-06
0.527,1.41999,1e-06
0.528,1.41991,1e-06
0.529,1.41984,1e-06
0.53,1.41976,1e-06
0.531,1.41968,1e-06
0.532,1.4196,1e-06
0.533,1.41953,1e-06
0.534,1.41945,1e-06
0.535,1.41937,1e-06
0.536,1.4193,1e-06
0.537,1.41922,1e-06
0.538,1.41915,1e-06
0.539,1.41907,1e-06
0.54,1.419,1e-06
0.541,1.41893,1e-06
0.542,1.41885,1e-06
0.543,1.41878,1e-06
0.544,1.41871,1e-06
0.545,1.41864,1e-06
0.546,1.41857,1e-06
0.547,1.4185,1e-06
0.548,1.41842,1e-06
0.549,1.41835,1e-06
0.55,1.41828,1e-06
0.551,1.41821,1e-06
0.552,1.41815,1e-06
0.553,1.41808,1e-06
0.554,1.41801,1e-06
0.555,1.41794,1e-06
0.556,1.41787,1e-06
0.557,1.4178,1e-06
0.558,1.41774,1e-06
0.559,1.41767,1e-06
0.56,1.4176,1e-06
0.561,1.41754,1e-06
0.562,1.41747,1e-06
0.563,1.41741,1e-06
0.564,1.41734,1e-06
0.565,1.41728,1e-06
0.566,1.41721,1e-06
0.567,1.41715,1e-06
0.568,1.41709,1e-06
0.569,1.41702,1e-06
0.57,1.41696,1e-06
0.571,1.4169,1e-06
0.572,1.41683,1e-06
0.573,1.41677,1e-06
0.574,1.41671,1e-06
0.575,1.41665,1e-06
0.576,1.41659,1e-06
0.577,1.41653,1e-06
0.578,1.41647,1e-06
0.579,1.41641,1e-06
0.58,1.41635,1e-06
0.581,1.41629,1e-06
0.582,1.41623,1e-06
0.583,1.41617,1e-06
0.584,1.41611,1e-06
0.585,1.41605,1e-06
0.586,1.41599,1e-06
0.587,1.41594,1e-06
0.588,1.41588,1e-06
0.589,1.41582,1e-06
0.59,1.41576,1e-06
0.591,1.41571,1e-06
0.592,1.41565,1e-06
0.593,1.41559,1e-06
0.594,1.41554,1e-06
0.595,1.41548,1e-06
0.596,1.41543,1e-06
0.597,1.41537,1e-06
0.598,1.41532,1e-06
0.599,1.41526,1e-06
0.6,1.41521,1e-06
0.601,1.41516,1e-06
0.602,1.4151,1e-06
0.603,1.41505,1e-06
0.604,1.415,1e-06
0.605,1.41494,1e-06
0.606,1.41489,1e-06
0.607,1.41484,1e-06
0.608,1.41479,1e-06
0.609,1.41473,1e-06
0.61,1.41468,1e-06
0.611,1.41463,1e-06
0.612,1.41458,1e-06
0.613,1.41453,1e-06
0.614,1.41448,1e-06
0.615,1.41443,1e-06
0.616,1.41438,1e-06
0.617,1.41433,1e-06
0.618,1.41428,1e-06
0.619,1.41423,1e-06
0.62,1.41418,1e-06
0.621,1.41413,1e-06
0.622,1.41408,1e-06
0.623,1.41403,1e-06
0.624,1.41398,1e-06
0.625,1.41394,1e-06
0.626,1.41389,1e-06
0.627,1.41384,1e-06
0.628,1.41379,1e-06
0.629,1.41375,1e-06
0.63,1.4137,1e-06
0.631,1.41365,1e-06
0.632,1.41361,1e-06
0.633,1.41356,1e-06
0.634,1.41351,1e-06
0.635,1.41347,1e-06
0.636,1.41342,1e-06
0.637,1.41338,1e-06
0.638,1.41333,1e-06
0.639,1.41329,1e-06
0.64,1.41324,1e-06
0.641,1.4132,1e-06
0.642,1.41315,1e-06
0.643,1.41311,1e-06
0.644,1.41306,1e-06
0.645,1.41302,1e-06
0.646,1.41298,1e-06
0.647,1.41293,1e-06
0.648,1.41289,1e-06
0.649,1.41285,1e-06
0.65,1.4128,1e-06
0.651,1.41276,1e-06
0.652,1.41272,1e-06
0.653,1.41268,1e-06
0.654,1.41263,1e-06
0.655,1.41259,1e-06
0.656,1.41255,1e-06
0.657,1.41251,1e-06
0.658,1.41247,1e-06
0.659,1.41243,1e-06
0.66,1.41239,1e-06
0.661,1.41235,1e-06
0.662,1.4123,1e-06
0.663,1.41226,1e-06
0.664,1.41222,1e-06
0.665,1.41218,1e-06
0.666,1.41214,1e-06
0.667,1.4121,1e-06
0.668,1.41206,1e-06
0.669,1.41203,1e-06
0.67,1.41199,1e-06
0.671,1.41195,1e-06
0.672,1.41191,1e-06
0.673,1.41187,1e-06
0.674,1.41183,1e-06
0.675,1.41179,1e-06
0.676,1.41176,1e-06
0.677,1.41172,1e-06
0.678,1.41168,1e-06
0.679,1.41164,1e-06
0.68,1.4116,1e-06
0.681,1.41157,1e-06
0.682,1.41153,1e-06
0.683,1.41149,1e-06
0.684,1.41145,1e-06
0.685,1.41142,1e-06
0.686,1.41138,1e-06
0.687,1.41135,1e-06
0.688,1.41131,1e-06
0.689,1.41127,1e-06
0.69,1.41124,1e-06
0.691,1.4112,1e-06
0.692,1.41117,1e-06
0.693,1.41113,1e-06
0.694,1.4111,1e-06
0.695,1.41106,1e-06
0.696,1.41103,1e-06
0.697,1.41099,1e-06
0.698,1.41096,1e-06
0.699,1.41092,1e-06
0.7,1.41089,1e-06
0.701,1.41085,1e-06
0.702,1.41082,1e-06
0.703,1.41078,1e-06
0.704,1.41075,1e-06
0.705,1.41072,1e-06
0.706,1.41068,1e-06
0.707,1.41065,1e-06
0.708,1.41062,1e-06
0.709,1.41058,1e-06
0.71,1.41055,1e-06
0.711,1.41052,1e-06
0.712,1.41049,1e-06
0.713,1.41045,1e-06
0.714,1.41042,1e-06
0.715,1.41039,1e-06
0.716,1.41036,1e-06
0.717,1.41032,1e-06
0.718,1.41029,1e-06
0.719,1.41026,1e-06
0.72,1.41023,1e-06
0.721,1.4102,1e-06
0.722,1.41016,1e-06
0.723,1.41013,1e-06
0.724,1.4101,1e-06
0.725,1.41007,1e-06
0.726,1.41004,1e-06
0.727,1.41001,1e-06
0.728,1.40998,1e-06
0.729,1.40995,1e-06
0.73,1.40992,1e-06
0.731,1.40989,1e-06
0.732,1.40986,1e-06
0.733,1.40983,1e-06
0.734,1.4098,1e-06
0.735,1.40977,1e-06
0.736,1.40974,1e-06
0.737,1.40971,1e-06
0.738,1.40968,1e-06
0.739,1.40965,1e-06
0.74,1.40962,1e-06
0.741,1.40959,1e-06
0.742,1.40956,1e-06
0.743,1.40953,1e-06
0.744,1.40951,1e-06
0.745,1.40948,1e-06
0.746,1.40945,1e-06
0.747,1.40942,1e-06
0.748,1.40939,1e-06
0.749,1.40936,1e-06
0.75,1.40933,1e-06
0.751,1.40931,1e-06
0.752,1.40928,1e-06
0.753,1.40925,1e-06
0.754,1.40922,1e-06
0.755,1.4092,1e-06
0.756,1.40917,1e-06
0.757,1.40914,1e-06
0.758,1.40911,1e-06
0.759,1.40909,1e-06
0.76,1.40906,1e-06
0.761,1.40903,1e-06
0.762,1.40901,1e-06
0.763,1.40898,1e-06
0.764,1.40895,1e-06
0.765,1.40893,1e-06
0.766,1.4089,1e-06
0.767,1.40887,1e-06
0.768,1.40885,1e-06
0.769,1.40882,1e-06
0.77,1.4088,1e-06
0.771,1.40877,1e-06
0.772,1.40874,1e-06
0.773,1.40872,1e-06
0.774,1.40869,1e-06
0.775,1.40867,1e-06
0.776,1.40864,1e-06
0.777,1.40862,1e-06
0.778,1.40859,1e-06
0.779,1.40857,1e-06
0.78,1.40854,1e-06
0.781,1.40852,1e-06
0.782,1.40849,1e-06
0.783,1.40847,1e-06
0.784,1.40844,1e-06
0.785,1.40842,1e-06
0.786,1.40839,1e-06
0.787,1.40837,1e-06
0.788,1.40835,1e-06
0.789,1.40832,1e-06
0.79,1.4083,1e-06
0.791,1.40827,1e-06
0.792,1.40825,1e-06
0.793,1.40823,1e-06
0.794,1.4082,1e-06
0.795,1.40818,1e-06
0.796,1.40815,1e-06
0.797,1.40813,1e-06
0.798,1.40811,1e-06
0.799,1.40808,1e-06
0.8,1.40806,1e-06
0.801,1.40804,1e-06
0.802,1.40801,1e-06
0.803,1.40799,1e-06
0.804,1.40797,1e-06
0.805,1.40795,1e-06
0.806,1.40792,1e-06
0.807,1.4079,1e-06
0.808,1.40788,1e-06
0.809,1.40786,1e-06
0.81,1.40783,1e-06
0.811,1.40781,1e-06
0.812,1.40779,1e-06
0.813,1.40777,1e-06
0.814,1.40775,1e-06
0.815,1.40772,1e-06
0.816,1.4077,1e-06
0.817,1.40768,1e-06
0.818,1.40766,1e-06
0.819,1.4,1e-06
0.839,1.4,2e-06
0.859,1.4,1e-06
0.879,1.4,1e-06
0.899,1.399,1e-06
0.919,1.399,1e-06
0.939,1.399,1e-06
0.959,1.399,1e-06
0.979,1.399,1e-06
0.999,1.399,1e-06
1.019,1.399,1e-06
1.039,1.399,1e-06
1.059,1.399,1e-06
1.079,1.398,1e-06
1.099,1.398,1e-06
1.119,1.398,1e-06
1.139,1.398,1e-06
1.159,1.398,3e-06
1.179,1.398,1.2e-05
1.199,1.398,3e-06
1.219,1.398,1e-06
1.239,1.398,1e-06
1.259,1.398,1e-06
1.279,1.397,1e-06
1.299,1.397,1e-06
1.319,1.397,1e-06
1.339,1.397,1e-06
1.359,1.397,3e-06
1.379,1.397,6e-06
1.399,1.397,1.5e-05
1.419,1.397,5e-06
1.439,1.397,3e-06
1.459,1.397,2e-06
1.479,1.396,1e-06
1.499,1.396,2e-06
1.519,1.396,6e-06
1.539,1.396,5e-06
1.559,1.396,4e-06
1.579,1.396,1e-06
1.599,1.396,1e-06
1.619,1.396,1e-06
1.639,1.396,5e-06
1.659,1.396,8e-06
1.679,1.395,2.1e-05
1.699,1.395,8.9e-05
1.719,1.395,2e-05
1.739,1.395,9.5e-05
1.759,1.395,4.1e-05
1.779,1.395,3.1e-05
1.799,1.395,1e-05
1.819,1.395,4e-06
1.839,1.395,2e-05
1.859,1.395,1.2e-05
1.879,1.394,2e-06
1.899,1.394,3e-06
1.919,1.394,4e-06
1.939,1.394,6e-06
1.959,1.394,8e-06
1.979,1.394,1e-05
1.999,1.394,1e-05
2.019,1.394,1e-05
2.039,1.394,9e-06
2.059,1.393,6e-06
