lambda_um,n,k
2.48e-06,1,3.98e-12
6.2e-06,0.998,1.15e-10
1.24e-05,0.999,1.49e-09
1.65e-05,1,4.33e-09
2.48e-05,1,1.92e-08
3.1e-05,1,4.64e-08
4.13e-05,1,1.32e-07
4.77e-05,1,2.11e-07
4.96e-05,1,3.63e-08
6.2e-05,0.999,9.57e-08
0.000124,0.999,1.29e-06
0.000155,1,2.92e-06
0.000207,1,8.36e-06
0.000248,1,1.52e-05
0.000276,1,2.21e-05
0.00031,1,3.57e-05
0.000344,1,3.24e-05
0.000354,1,1.72e-05
0.000413,1,1.43e-05
0.000496,1,2.4e-05
0.00062,1,4.72e-05
0.000827,0.999,0.000121
0.00124,0.998,0.000523
0.00155,0.997,0.00108
0.00168,0.998,0.00142
0.00207,0.997,0.00269
0.00248,0.997,0.00457
0.0031,0.998,0.00882
0.00335,1.01,0.00823
0.00354,1,0.00168
0.00413,0.996,0.00232
0.00443,0.994,0.0027
0.00477,0.992,0.00311
0.00517,0.989,0.0035
0.00564,0.987,0.00345
0.0062,0.982,0.00377
0.00689,0.978,0.00431
0.00729,0.973,0.00442
0.00775,0.968,0.00438
0.00827,0.963,0.00407
0.00886,0.955,0.00354
0.00954,0.943,0.00366
0.0103,0.926,0.00622
0.0113,0.902,0.0172
0.0118,0.89,0.0261
0.0124,0.876,0.0382
0.0131,0.861,0.0565
0.0138,0.849,0.0842
0.0146,0.846,0.111
0.0155,0.848,0.139
0.0159,0.851,0.149
0.0163,0.853,0.158
0.0168,0.853,0.166
0.0172,0.851,0.181
0.0177,0.859,0.197
0.0182,0.871,0.208
0.0188,0.883,0.211
0.0194,0.885,0.21
0.02,0.881,0.211
0.0207,0.873,0.221
0.0214,0.868,0.237
0.0221,0.871,0.259
0.023,0.885,0.274
0.0234,0.89,0.275
0.0238,0.889,0.276
0.0243,0.886,0.281
0.0248,0.884,0.29
0.0253,0.885,0.3
0.0258,0.888,0.309
0.0264,0.893,0.317
0.027,0.896,0.323
0.0282,0.899,0.334
0.0295,0.897,0.349
0.031,0.896,0.368
0.0318,0.895,0.378
0.0326,0.892,0.388
0.0335,0.885,0.4
0.0344,0.876,0.418
0.0354,0.865,0.454
0.0365,0.879,0.489
0.0376,0.899,0.514
0.0388,0.921,0.528
0.04,0.932,0.534
0.0413,0.93,0.541
0.0428,0.919,0.557
0.0435,0.911,0.572
0.0443,0.902,0.59
0.0451,0.891,0.616
0.0459,0.886,0.65
0.0468,0.889,0.691
0.0477,0.897,0.734
0.0486,0.913,0.778
0.0496,0.947,0.828
0.0506,0.989,0.868
0.0517,1.04,0.904
0.0528,1.1,0.93
0.0539,1.18,0.943
0.0551,1.26,0.935
0.0564,1.34,0.874
0.0577,1.37,0.801
0.059,1.35,0.745
0.062,1.29,0.714
0.0653,1.27,0.752
0.0689,1.28,0.805
0.0729,1.33,0.964
0.0775,1.42,0.91
0.0827,1.66,0.918
0.0855,1.64,0.875
0.0886,1.72,0.783
0.0954,1.66,0.64
0.103,1.61,0.587
0.113,1.55,0.553
0.124,1.46,0.557
0.138,1.33,0.562
0.155,1.16,0.753
0.165,1.14,0.911
0.177,1.18,1.06
0.191,1.25,1.18
0.207,1.34,1.28
0.225,1.45,1.34
0.248,1.55,1.35
0.261,1.61,1.34
0.276,1.69,1.28
0.288,1.73,1.13
0.295,1.75,1.06
0.302,1.73,0.845
0.31,1.62,0.599
0.318,1.3,0.36
0.326,0.727,0.304
0.329,0.527,0.399
0.335,0.3,0.765
0.344,0.23,1.13
0.354,0.211,1.42
0.382,0.229,1.86
0.413,0.226,2.28
0.496,0.237,3.09
0.62,0.269,4.18
0.827,0.271,5.8
1.24,0.278,9.02
2.48,0.669,18.8
3.1,0.909,22.9
4.13,1.41,30.5
6.2,2.84,45.7
12.4,9.94,90.2
24.8,36.7,173
49.6,118,306
124,309,506
248,531,689
