lambda_um,n,k
0.3,1.5605,1e-09
0.3035,1.5595,1e-09
0.307,1.5585,1e-09
0.3106,1.5575,1e-09
0.3141,1.5566,1e-09
0.3176,1.5556,1e-09
0.3211,1.5547,1e-09
0.3246,1.5538,1e-09
0.3281,1.5529,1e-09
0.3317,1.5521,1e-09
0.3352,1.5512,1e-09
0.3387,1.5504,1e-09
0.3422,1.5496,1e-09
0.3457,1.5488,1e-09
0.3492,1.548,1e-09
0.3528,1.5473,1e-09
0.3563,1.5465,1e-09
0.3598,1.5458,1e-09
0.3633,1.5451,1e-09
0.3668,1.5444,1e-09
0.3704,1.5437,1e-09
0.3739,1.5431,1e-09
0.3774,1.5424,1e-09
0.3809,1.5418,1e-09
0.3844,1.5412,1e-09
0.3879,1.5406,1e-09
0.3915,1.54,1e-09
0.395,1.5394,1e-09
0.3985,1.5388,1e-09
0.402,1.5382,1e-09
0.4055,1.5377,1e-09
0.409,1.5372,1e-09
0.4126,1.5366,1e-09
0.4161,1.5361,1e-09
0.4196,1.5356,1e-09
0.4231,1.5351,1e-09
0.4266,1.5346,1e-09
0.4302,1.5342,1e-09
0.4337,1.5337,1e-09
0.4372,1.5332,1e-09
0.4407,1.5328,1e-09
0.4442,1.5324,1e-09
0.4477,1.5319,1e-09
0.4513,1.5315,1e-09
0.4548,1.5311,1e-09
0.4583,1.5307,1e-09
0.4618,1.5303,1e-09
0.4653,1.5299,1e-09
0.4688,1.5295,1e-09
0.4724,1.5292,1e-09
0.4759,1.5288,1e-09
0.4794,1.5284,1e-09
0.4829,1.5281,1e-09
0.4864,1.5277,1e-09
0.4899,1.5274,1e-09
0.4935,1.5271,1e-09
0.497,1.5268,1e-09
0.5005,1.5264,1e-09
0.504,1.5261,1e-09
0.5075,1.5258,1e-09
0.5111,1.5255,1e-09
0.5146,1.5252,1e-09
0.5181,1.5249,1e-09
0.5216,1.5246,1e-09
0.5251,1.5244,1e-09
0.5286,1.5241,1e-09
0.5322,1.5238,1e-09
0.5357,1.5235,1e-09
0.5392,1.5233,1e-09
0.5427,1.523,1e-09
0.5462,1.5228,1e-09
0.5497,1.5225,1e-09
0.5533,1.5223,1e-09
0.5568,1.522,1e-09
0.5603,1.5218,1e-09
0.5638,1.5216,1e-09
0.5673,1.5213,1e-09
0.5709,1.5211,1e-09
0.5744,1.5209,1e-09
0.5779,1.5207,1e-09
0.5814,1.5205,1e-09
0.5849,1.5203,1e-09
0.5884,1.5201,1e-09
0.592,1.5199,1e-09
0.5955,1.5197,1e-09
0.599,1.5195,1e-09
0.6025,1.5193,1e-09
0.606,1.5191,1e-09
0.6095,1.5189,1e-09
