lambda_um,n,k
0.28,1.50288,7e-08
0.298693,1.496087,7e-08
0.317387,1.489536,6e-08
0.33608,1.484463,6e-08
0.354774,1.47939,6e-08
0.373467,1.474354,6e-08
0.392161,1.469793,6e-08
0.410854,1.465232,7e-08
0.429548,1.46067,7e-08
0.448241,1.459018,7e-08
0.466935,1.458922,7e-08
0.485628,1.458826,7e-08
0.504322,1.456428,7e-08
0.523015,1.453863,7e-08
0.541709,1.451299,7e-08
0.560402,1.448735,7e-08
0.579095,1.448172,7e-08
0.597789,1.448075,7e-08
0.616482,1.447978,8e-08
0.635176,1.447882,8e-08
0.653869,1.447787,9e-08
0.672563,1.447694,9e-08
0.691256,1.4476,1e-07
0.70995,1.447506,1e-07
0.728643,1.447413,1e-07
0.747337,1.447319,1e-07
0.76603,1.447223,1e-07
0.784724,1.447125,1e-07
0.803417,1.447028,1.1e-07
0.822111,1.446931,1e-07
0.840804,1.446836,1e-07
0.859497,1.44674,1e-07
0.878191,1.446645,9e-08
0.896884,1.44655,9e-08
0.915578,1.446454,9e-08
0.934271,1.447567,9e-08
0.952965,1.448734,8e-08
0.971658,1.449902,8e-08
0.990352,1.451069,8e-08
1.009045,1.449216,8e-08
1.027739,1.447109,7e-08
1.046432,1.445001,6e-08
1.065126,1.442894,6e-08
1.083819,1.440786,6e-08
1.102513,1.438679,6e-08
1.121206,1.436571,6e-08
1.139899,1.434464,6e-08
1.158593,1.434163,5e-08
1.177286,1.434674,5e-08
1.19598,1.435186,5e-08
1.214673,1.435697,5e-08
1.233367,1.436208,5e-08
1.25206,1.43672,4e-08
1.270754,1.437231,4e-08
1.289447,1.437743,5e-08
1.308141,1.438254,5e-08
1.326834,1.438766,5e-08
1.345528,1.439277,5e-08
1.364221,1.439788,5e-08
1.382915,1.4403,5e-08
1.401608,1.440811,5e-08
1.420302,1.441323,5e-08
1.438995,1.441834,5e-08
1.457688,1.44196,5e-08
1.476382,1.44196,5e-08
1.495075,1.44196,5e-08
1.513769,1.44196,6e-08
1.532462,1.44196,6e-08
1.551156,1.44196,7e-08
1.569849,1.44196,7e-08
1.588543,1.44196,8e-08
1.607236,1.44196,8e-08
1.62593,1.44196,9e-08
1.644623,1.44196,1e-07
1.663317,1.44196,1e-07
1.68201,1.44196,1.1e-07
1.700704,1.44196,1.1e-07
1.719397,1.44196,1.2e-07
1.73809,1.44196,1.2e-07
1.756784,1.441688,1.3e-07
1.775477,1.441356,1.5e-07
1.794171,1.441023,1.6e-07
1.812864,1.440691,1.8e-07
1.831558,1.440358,2e-07
1.850251,1.440026,2.1e-07
1.868945,1.439693,2.3e-07
1.887638,1.439361,2.5e-07
1.906332,1.439028,2.6e-07
1.925025,1.438696,2.8e-07
1.943719,1.438363,3e-07
1.962412,1.438031,3.1e-07
1.981106,1.437698,3.3e-07
1.999799,1.437366,3.6e-07
2.018492,1.437033,3.8e-07
2.037186,1.436701,4.1e-07
2.055879,1.436368,4.4e-07
2.074573,1.436036,4.6e-07
2.093266,1.435703,4.9e-07
2.11196,1.435371,5.2e-07
2.130653,1.435038,5.5e-07
2.149347,1.434706,5.7e-07
2.16804,1.434373,6e-07
2.186734,1.434041,6.3e-07
2.205427,1.43381,6.5e-07
2.224121,1.43381,6.8e-07
2.242814,1.43381,7.1e-07
2.261508,1.43381,7.4e-07
2.280201,1.43381,7.6e-07
2.298894,1.43381,7.9e-07
2.317588,1.43381,8.4e-07
2.336281,1.43381,9e-07
2.354975,1.43381,9.6e-07
2.373668,1.43381,1.02e-06
2.392362,1.43381,1.08e-06
2.411055,1.43381,1.14e-06
2.429749,1.43381,1.2e-06
2.448442,1.43381,1.27e-06
2.467136,1.43381,1.33e-06
2.485829,1.43381,1.39e-06
2.504523,1.43381,1.45e-06
2.523216,1.43381,1.51e-06
2.54191,1.43381,1.6e-06
2.560603,1.43381,1.74e-06
2.579296,1.43381,1.88e-06
2.59799,1.43381,2.02e-06
2.616683,1.43381,2.16e-06
2.635377,1.43381,2.3e-06
2.65407,1.43381,2.44e-06
2.672764,1.43381,2.58e-06
2.691457,1.43381,2.72e-06
2.710151,1.43381,2.86e-06
2.728844,1.43377,3e-06
2.747538,1.43342,3.14e-06
2.766231,1.43307,3.27e-06
2.784925,1.43272,3.32e-06
2.803618,1.43237,3.37e-06
2.822312,1.43202,3.42e-06
2.841005,1.43167,3.47e-06
2.859698,1.43132,3.51e-06
2.878392,1.43097,3.56e-06
2.897085,1.43062,3.61e-06
2.915779,1.43027,3.66e-06
2.934472,1.42992,3.71e-06
2.953166,1.42957,3.76e-06
2.971859,1.42922,3.8e-06
2.990553,1.42887,3.85e-06
3.009246,1.42852,3.88e-06
3.02794,1.42817,3.91e-06
3.046633,1.42782,3.94e-06
3.065327,1.42747,3.97e-06
3.08402,1.42712,3.99e-06
3.102714,1.42677,4.02e-06
3.121407,1.42642,4.05e-06
3.140101,1.42607,4.08e-06
3.158794,1.42572,4.11e-06
3.177487,1.425398,4.13e-06
3.196181,1.425082,4.16e-06
3.214874,1.424765,4.19e-06
3.233568,1.424449,4.22e-06
3.252261,1.424133,4.25e-06
3.270955,1.423817,4.27e-06
3.289648,1.4235,4.3e-06
3.308342,1.423184,4.33e-06
3.327035,1.422868,4.36e-06
3.345729,1.422551,4.68e-06
3.364422,1.422235,5.3e-06
3.383116,1.421919,5.91e-06
3.401809,1.421603,6.52e-06
3.420503,1.421286,7.14e-06
3.439196,1.42097,7.75e-06
3.457889,1.420654,8.36e-06
3.476583,1.420337,8.98e-06
3.495276,1.420021,9.59e-06
3.51397,1.419705,1.021e-05
3.532663,1.419389,1.154e-05
3.551357,1.419072,1.322e-05
3.57005,1.418756,1.489e-05
3.588744,1.41844,1.657e-05
3.607437,1.418123,1.824e-05
3.626131,1.417807,1.991e-05
3.644824,1.417418,2.159e-05
3.663518,1.41631,2.326e-05
3.682211,1.415202,2.494e-05
3.700905,1.414094,2.667e-05
3.719598,1.412985,2.839e-05
3.738291,1.411877,3.012e-05
3.756985,1.410769,3.185e-05
3.775678,1.409661,3.358e-05
3.794372,1.408553,3.53e-05
3.813065,1.407445,3.703e-05
3.831759,1.406337,3.876e-05
3.850452,1.405229,4.048e-05
3.869146,1.404121,4.221e-05
3.887839,1.403013,4.394e-05
3.906533,1.401904,4.567e-05
3.925226,1.400796,4.739e-05
3.94392,1.399688,4.912e-05
3.962613,1.39858,5.118e-05
3.981307,1.397472,5.381e-05
4,1.396364,5.643e-05
4.082,1.386,7.99e-05
4.167,1.383,0.000107
4.255,1.378809524,0.000132
4.348,1.374380952,0.000213
4.396,1.372095238,0.000265
4.444,1.369809524,0.000284
4.494,1.367428571,0.000284
4.545,1.365,0.000256
4.651,1.359641758,0.000262
4.762,1.354030769,0.000485
4.878,1.348167033,0.00182
5,1.342,0.00398
5.063,1.337920863,0.00512
5.128,1.33371223,0.00518
5.263,1.324971223,0.00549
5.333,1.320438849,0.00569
5.405,1.315776978,0.00572
5.556,1.306,0.00563
5.714,1.292429448,0.00578
5.882,1.278,0.00594
6.061,1.259029891,0.00632
6.154,1.249173913,0.00646
6.25,1.239,0.00652
6.452,1.212,0.00657
6.667,1.175,0.00716
6.757,1.158,0.00761
6.849,1.135,0.00806
6.897,1.121,0.00851
6.944,1.107,0.00891
7.042,1.084,0.00974
7.143,1.053,0.0106
7.407,0.9488,0.0148
7.692,0.7719,0.0372
7.752,0.7037,0.0474
7.813,0.6232,0.0768
7.874,0.5456,0.132
7.937,0.4677,0.216
8,0.4113,0.323
8.065,0.3931,0.446
8.13,0.402,0.553
8.197,0.4329,0.635
8.265,0.453,0.704
8.333,0.46,0.771
8.403,0.473,0.84
8.45,0.4746,0.903
8.547,0.4656,0.978
8.621,0.4563,1.07
8.696,0.4303,1.17
8.772,0.3915,1.32
8.85,0.3563,1.53
8.929,0.3705,1.85
9.009,0.5846,2.27
9.091,1.043,2.55
9.174,1.616,2.63
9.302,2.25,2.26
9.524,2.76,1.65
9.75,2.839,0.962
10,2.694,0.509
10.26,2.448,0.231
10.53,2.224,0.102
10.81,2.038,0.046
11.11,1.869,0.0506
11.36,1.784,0.0775
11.63,1.69,0.116
11.76,1.652,0.152
11.9,1.619,0.204
12.05,1.615,0.267
12.2,1.658,0.323
12.35,1.701,0.341
12.5,1.753,0.343
12.66,1.789,0.314
12.82,1.811,0.275
12.99,1.81,0.227
13.16,1.779,0.192
13.33,1.756,0.177
13.79,1.698,0.157
14.29,1.643,0.157
14.81,1.598,0.168
15.38,1.555,0.182
16,1.502,0.202
16.67,1.45,0.235
17.24,1.401,0.264
17.86,1.337,0.298
18.52,1.235,0.341
18.97,1.161,0.377
19.23,1.05,0.415
19.61,0.8857,0.524
20,0.6616,0.822
20.41,0.5777,1.28
20.83,0.7517,1.86
21.05,1.002,2.22
21.28,1.484,2.39
21.74,2.308,2.29
22.73,2.93,1.29
23.81,2.912,0.738
25,2.739,0.397
26.67,2.537,0.199
28.57,2.388,0.13
30.77,2.284,0.092
33.33,2.21,0.067
36.36,2.147,0.056
40,2.1,0.046
45,2,0.025
50,1.98,0.023
55,1.98,0.02
60,1.98,0.019
65,1.98,0.019
70,1.98,0.018
75,1.97,0.0175
80,1.97,0.0165
85,1.97,0.0165
90,1.97,0.016
95,1.97,0.016
100,1.967,0.0159
