lambda_um,n,k
0.1907,0.847,2.73
0.1984,0.968,2.89
0.2066,1.11,3.05
0.2073,1.036,2.928
0.208,1.046,2.944
0.2087,1.066,2.937
0.2094,1.07,2.963
0.2101,1.083,2.982
0.2109,1.088,2.987
0.2116,1.102,3.005
0.2123,1.109,3.015
0.213,1.119,3.025
0.2138,1.24,3.18
0.2145,1.139,3.061
0.2153,1.155,3.073
0.216,1.164,3.086
0.2168,1.175,3.102
0.2175,1.18,3.112
0.2183,1.195,3.135
0.2191,1.211,3.15
0.2198,1.222,3.169
0.2206,1.235,3.19
0.2214,1.4,3.33
0.2222,1.265,3.228
0.223,1.28,3.245
0.2238,1.299,3.267
0.2246,1.319,3.285
0.2254,1.34,3.302
0.2263,1.362,3.319
0.2271,1.389,3.334
0.2279,1.416,3.35
0.2288,1.445,3.359
0.2296,1.64,3.44
0.2305,1.502,3.368
0.2313,1.526,3.368
0.2322,1.548,3.364
0.2331,1.566,3.358
0.2339,1.75,3.42
0.2348,1.585,3.346
0.2357,1.59,3.344
0.2366,1.591,3.344
0.2375,1.592,3.347
0.2384,1.78,3.36
0.2394,1.586,3.363
0.2403,1.582,3.376
0.2412,1.579,3.389
0.2422,1.573,3.408
0.2431,1.72,3.42
0.2441,1.57,3.451
0.245,1.569,3.477
0.246,1.568,3.504
0.247,1.569,3.533
0.248,1.68,3.58
0.249,1.575,3.598
0.25,1.58,3.632
0.251,1.584,3.67
0.252,1.591,3.709
0.253,1.597,3.749
0.2541,1.608,3.789
0.2551,1.618,3.835
0.2562,1.629,3.88
0.2572,1.643,3.928
0.2583,1.658,3.979
0.2594,1.673,4.031
0.2605,1.692,4.088
0.2616,1.713,4.149
0.2627,1.737,4.211
0.2638,1.764,4.278
0.2649,1.794,4.35
0.2661,1.831,4.426
0.2672,1.874,4.506
0.2684,1.927,4.59
0.2695,1.988,4.678
0.2707,2.059,4.764
0.2719,2.14,4.849
0.2731,2.234,4.933
0.2743,2.339,5.011
0.2755,2.451,5.082
0.2768,2.572,5.148
0.278,2.7,5.206
0.2792,2.833,5.257
0.2805,2.974,5.304
0.2818,3.12,5.344
0.2831,3.277,5.381
0.2844,3.444,5.414
0.2857,3.634,5.435
0.287,3.849,5.439
0.2883,4.086,5.395
0.2897,4.318,5.301
0.291,4.525,5.158
0.2924,4.686,4.989
0.2938,4.805,4.812
0.2952,4.888,4.639
0.2966,4.941,4.48
0.298,4.977,4.335
0.2995,4.999,4.204
0.3009,5.012,4.086
0.3024,5.02,3.979
0.3039,5.021,3.885
0.3054,5.02,3.798
0.3069,5.018,3.72
0.3084,5.015,3.65
0.31,5.01,3.587
0.3115,5.009,3.529
0.3131,5.01,3.477
0.3147,5.009,3.429
0.3163,5.012,3.386
0.3179,5.016,3.346
0.3195,5.021,3.31
0.3212,5.029,3.275
0.3229,5.04,3.242
0.3246,5.052,3.211
0.3263,5.065,3.182
0.328,5.079,3.154
0.3297,5.095,3.128
0.3315,5.115,3.103
0.3333,5.134,3.079
0.3351,5.156,3.058
0.3369,5.179,3.039
0.3388,5.204,3.021
0.3406,5.231,3.007
0.3425,5.261,2.995
0.3444,5.296,2.987
0.3463,5.336,2.983
0.3483,5.383,2.984
0.3502,5.442,2.989
0.3522,5.515,2.999
0.3542,5.61,3.014
0.3563,5.733,3.026
0.3583,5.894,3.023
0.3604,6.089,2.982
0.3625,6.308,2.881
0.3647,6.522,2.705
0.3668,6.695,2.456
0.369,6.796,2.169
0.3712,6.829,1.87
0.3734,6.799,1.571
0.3757,6.709,1.321
0.378,6.585,1.11
0.3803,6.452,0.945
0.3827,6.316,0.815
0.385,6.185,0.714
0.3875,6.062,0.63
0.3899,5.948,0.561
0.3924,5.842,0.505
0.3949,5.744,0.456
0.3974,5.654,0.416
0.4,5.57,0.387
0.4025,5.493,0.355
0.4052,5.42,0.329
0.4078,5.349,0.313
0.4105,5.284,0.291
0.4133,5.222,0.269
0.4161,5.164,0.255
0.4189,5.109,0.244
0.4217,5.058,0.228
0.4246,5.009,0.211
0.4275,4.961,0.203
0.4305,4.916,0.194
0.4335,4.872,0.185
0.4366,4.831,0.185
0.4397,4.791,0.17
0.4428,4.753,0.163
0.446,4.718,0.149
0.4492,4.682,0.149
0.4525,4.648,0.133
0.4558,4.615,0.131
0.4592,4.583,0.13
0.4626,4.553,0.131
0.4661,4.522,0.134
0.4696,4.495,0.12
0.4732,4.466,0.12
0.4769,4.442,0.09
0.4806,4.416,0.094
0.4843,4.391,0.083
0.4881,4.367,0.079
0.492,4.343,0.077
0.4959,4.32,0.073
0.4999,4.298,0.073
0.504,4.277,0.066
