lambda_um,n,k
0.25,1.589,5.97e-06
0.26,1.582,6.12e-06
0.27,1.574,6.22e-06
0.28,1.568,6.42e-06
0.29,1.562,6.59e-06
0.3,1.557,6.24e-06
0.31,1.553923,5e-05
0.331558,1.549147,5.72e-06
0.353116,1.544386,9.4e-07
0.374673,1.541057,4.9e-07
0.396231,1.537746,2.3e-07
0.417789,1.535325,2.3e-07
0.439347,1.532922,2.3e-07
0.460905,1.531098,1.7e-07
0.482462,1.52929,1.6e-07
0.50402,1.527875,1.5e-07
0.525578,1.526474,1.7e-07
0.547136,1.525346,2.1e-07
0.568693,1.524231,3e-07
0.590251,1.523312,4e-07
0.611809,1.522403,5.4e-07
0.633367,1.521638,7.2e-07
0.654925,1.520882,8.7e-07
0.676482,1.520232,1.07e-06
0.69804,1.519591,1.22e-06
0.719598,1.519029,1.47e-06
0.741156,1.518475,1.72e-06
0.762714,1.517982,2e-06
0.784271,1.517495,2.27e-06
0.805829,1.517055,2.56e-06
0.827387,1.51662,2.86e-06
0.848945,1.516222,3.14e-06
0.870503,1.515829,3.4e-06
0.89206,1.515464,3.64e-06
0.913618,1.515103,3.85e-06
0.935176,1.514764,4.04e-06
0.956734,1.514429,4.23e-06
0.978291,1.514111,4.42e-06
0.999849,1.513796,4.59e-06
1.021407,1.513495,4.7e-06
1.042965,1.513196,4.81e-06
1.064523,1.512908,4.93e-06
1.08608,1.512622,5.04e-06
1.107638,1.512344,5.13e-06
1.129196,1.512067,5.19e-06
1.150754,1.511797,5.24e-06
1.172312,1.511528,5.3e-06
1.193869,1.511264,5.35e-06
1.215427,1.511001,5.37e-06
1.236985,1.510741,5.36e-06
1.258543,1.510482,5.36e-06
1.280101,1.510226,5.35e-06
1.301658,1.509969,5.34e-06
1.323216,1.509715,5.25e-06
1.344774,1.50946,5.17e-06
1.366332,1.509206,5.08e-06
1.387889,1.508953,4.99e-06
1.409447,1.508699,4.87e-06
1.431005,1.508445,4.72e-06
1.452563,1.508191,4.57e-06
1.474121,1.507937,4.41e-06
1.495678,1.507682,4.26e-06
1.517236,1.507426,4.14e-06
1.538794,1.507169,4.02e-06
1.560352,1.506911,3.9e-06
1.58191,1.506653,3.78e-06
1.603467,1.506393,3.68e-06
1.625025,1.506131,3.67e-06
1.646583,1.505869,3.67e-06
1.668141,1.505605,3.67e-06
1.689698,1.50534,3.66e-06
1.711256,1.505072,3.69e-06
1.732814,1.504804,3.75e-06
1.754372,1.504533,3.8e-06
1.77593,1.504261,3.86e-06
1.797487,1.503987,3.91e-06
1.819045,1.503711,3.97e-06
1.840603,1.503433,4.03e-06
1.862161,1.503153,4.09e-06
1.883719,1.502871,4.15e-06
1.905276,1.502587,4.2e-06
1.926834,1.502301,4.25e-06
1.948392,1.502013,4.3e-06
1.96995,1.501722,4.35e-06
1.991508,1.50143,4.4e-06
2.013065,1.501135,4.43e-06
2.034623,1.500838,4.44e-06
2.056181,1.500538,4.45e-06
2.077739,1.500236,4.47e-06
2.099296,1.499932,4.48e-06
2.120854,1.499626,4.67e-06
2.142412,1.499317,4.86e-06
2.16397,1.499006,5.05e-06
2.185528,1.498692,5.24e-06
2.207085,1.498376,5.35e-06
2.228643,1.498057,5.29e-06
2.250201,1.497736,5.22e-06
2.271759,1.497412,5.16e-06
2.293317,1.497086,5.1e-06
2.314874,1.496757,5.12e-06
2.336432,1.496426,5.19e-06
2.35799,1.496092,5.25e-06
2.379548,1.495755,5.31e-06
2.401106,1.495416,5.38e-06
2.422663,1.495074,5.59e-06
2.444221,1.49473,5.79e-06
2.465779,1.494383,5.99e-06
2.487337,1.494033,6.2e-06
2.508894,1.493681,6.37e-06
2.530452,1.493326,6.49e-06
2.55201,1.492968,6.61e-06
2.573568,1.492608,6.73e-06
2.595126,1.492245,6.85e-06
2.616683,1.491879,7.43e-06
2.638241,1.491511,8.15e-06
2.659799,1.49114,8.87e-06
2.681357,1.490766,9.58e-06
2.702915,1.49039,1.18e-05
2.724472,1.49001,2.361e-05
2.74603,1.489628,3.542e-05
2.767588,1.489243,4.724e-05
2.789146,1.488856,5.905e-05
2.810704,1.488465,6.653e-05
2.832261,1.488072,6.961e-05
2.853819,1.487676,7.27e-05
2.875377,1.487278,7.578e-05
2.896935,1.486876,7.886e-05
2.918492,1.486472,7.838e-05
2.94005,1.486065,7.73e-05
2.961608,1.485655,7.622e-05
2.983166,1.485242,7.514e-05
3.004724,1.484827,7.43e-05
3.026281,1.484409,7.427e-05
3.047839,1.483988,7.425e-05
3.069397,1.483564,7.423e-05
3.090955,1.483137,7.421e-05
3.112513,1.482707,7.516e-05
3.13407,1.482275,7.682e-05
3.155628,1.48184,7.848e-05
3.177186,1.481402,8.014e-05
3.198744,1.480961,8.18e-05
3.220302,1.480518,8.423e-05
3.241859,1.480071,8.671e-05
3.263417,1.479622,8.919e-05
3.284975,1.479169,9.167e-05
3.306533,1.478714,9.381e-05
3.32809,1.478256,9.514e-05
3.349648,1.477796,9.648e-05
3.371206,1.477332,9.781e-05
3.392764,1.476866,9.915e-05
3.414322,1.476396,0.00010066
3.435879,1.475924,0.00010226
3.457437,1.475448,0.00010385
3.478995,1.474971,0.00010545
3.500553,1.474489,0.000107
3.522111,1.474006,0.000107
3.543668,1.473519,0.000107
3.565226,1.473031,0.000107
3.586784,1.472537,0.000107
3.608342,1.472043,0.00010683
3.629899,1.471544,0.0001064
3.651457,1.471044,0.00010597
3.673015,1.470539,0.00010554
3.694573,1.470033,0.00010511
3.716131,1.469523,0.00010468
3.737688,1.469011,0.00010425
3.759246,1.468495,0.00010382
3.780804,1.467977,0.00010338
3.802362,1.467455,0.000103
3.82392,1.466932,0.000103
3.845477,1.466404,0.000103
3.867035,1.465875,0.000103
3.888593,1.465342,0.000103
3.910151,1.464807,0.0001033
3.931709,1.464267,0.00010395
3.953266,1.463727,0.0001046
3.974824,1.463182,0.00010524
3.996382,1.462635,0.00010589
4.01794,1.462084,0.00010887
