lambda_um,n,k
0.28,2.919769,5.28592321
0.294867,4.868283,4.6800958
0.309735,5.010828,3.5974397
0.324602,5.052017,3.21096086
0.33947,5.214046,3.01579107
0.354337,5.618034,3.01478393
0.369205,6.799069,2.14119276
0.384072,6.237853,0.75474976
0.398939,5.604263,0.39882902
0.413807,5.211499,0.2664655
0.428674,4.943385,0.19947701
0.443542,4.744886,0.15975477
0.458409,4.590442,0.1302326
0.473277,4.465502,0.11937863
0.488144,4.366728,0.07897741
0.503012,4.282062,0.06768769
0.517879,4.209348,0.0588103
0.532746,4.146981,0.04426507
0.547614,4.092492,0.04400001
0.562481,4.04529,0.0333162
0.577349,4.002697,0.02813964
0.592216,3.964857,0.02904416
0.607084,3.932456,0.02500001
0.621951,3.901767,0.02200001
0.636818,3.874211,0.01835102
0.651686,3.848477,0.01613445
0.666553,3.826071,0.01500659
0.681421,3.804737,0.01300001
0.696288,3.787246,0.01300001
0.711156,3.769782,0.01117833
0.726023,3.755468,0.01038554
0.74089,3.742075,0.00967524
0.755758,3.728211,0.00900001
0.770625,3.717115,0.00800001
0.785493,3.70437,0.00700001
0.80036,3.69214,0.00646019
0.815228,3.68131,0.00600001
0.830095,3.672998,0.00516292
0.844962,3.672998,0.00585589
0.85983,3.672998,0.00654887
0.874697,3.672998,0.00724184
0.889565,3.672997,0.00743039
0.904432,3.672997,0.00623183
0.9193,3.672997,0.00503326
0.934167,3.672997,0.0038347
0.949035,3.672997,0.00263613
0.963902,3.672997,0.00115081
0.978769,3.672997,0.00055417
0.993637,3.672997,0.00044335
1.008504,3.672997,0.00033589
1.023372,3.672997,0.00023666
1.038239,3.672997,0.00016256
1.053107,3.672996,0.00011382
1.067974,3.672996,7.004e-05
1.082841,3.672996,4.881e-05
1.097709,3.672996,3.334e-05
1.112576,3.614273,2.503e-05
1.127444,3.534049,2.131e-05
1.142311,3.52996,1.387e-05
1.157179,3.527095,1.032e-05
1.172046,3.524387,7.27e-06
1.186913,3.521679,4.22e-06
1.201781,3.519103,1.53e-06
1.216648,3.517495,1.54e-06
1.231516,3.515887,1.54e-06
1.246383,3.514279,1.54e-06
1.261251,3.512671,1.54e-06
1.276118,3.511063,1.54e-06
1.290985,3.509455,1.54e-06
1.305853,3.507847,1.54e-06
1.32072,3.506239,1.55e-06
1.335588,3.504632,1.55e-06
1.350455,3.503024,1.55e-06
1.365323,3.501416,1.55e-06
1.38019,3.496862,1.55e-06
1.395058,3.489906,1.55e-06
1.409925,3.486901,1.56e-06
1.424792,3.485865,1.56e-06
1.43966,3.484829,1.56e-06
1.454527,3.483792,1.56e-06
1.469395,3.482756,1.56e-06
1.484262,3.48172,1.56e-06
1.49913,3.480683,1.57e-06
1.513997,3.479647,1.57e-06
1.528864,3.478611,1.57e-06
1.543732,3.477115,1.57e-06
1.558599,3.475497,1.57e-06
1.573467,3.473879,1.58e-06
1.588334,3.472261,1.58e-06
1.603202,3.470771,1.58e-06
1.618069,3.469749,1.58e-06
1.632936,3.468726,1.59e-06
1.647804,3.467704,1.59e-06
1.662671,3.466682,1.59e-06
1.677539,3.46566,1.59e-06
1.692406,3.464637,1.6e-06
1.707274,3.463675,1.6e-06
1.722141,3.462731,1.6e-06
1.737009,3.461787,1.6e-06
1.751876,3.460843,1.61e-06
1.766743,3.4599,1.61e-06
